"Name","rt","mz","S48","E0","E0.1","Pool","S0","S0.1","S0.2","E48","Pool.1","Pool.2","Blank","Pool.3","E0.2","S48.1","S0.3","S48.2","Pool.4","E0.3","S48.3","Blank.1","Pool.5","Blank.2","Pool.6","E48.1","E48.2","Pool.7","E48.3","E48.4","E0.4","S0.4","Blank.3","Pool.8"
"",541.054401423133,131,12.7561477528667,13.1342546134369,13.8748361762239,13.9344920877009,14.0529812844751,12.5299468390876,13.5468423717617,13.3452670524758,14.3667574463619,13.7842317318159,12.1972718381326,14.5369157410684,12.6735782839723,13.864300428944,14.5608801024052,14.0411302604148,13.8649808293477,13.8701010879012,13.9657987492914,10.7951670173424,13.7691673876168,11.9453167611129,14.3228849872415,14.3816120209827,14.382836781751,13.9074924992364,14.2147573473336,13.198648059386,14.241963486585,15.1383164192331,11.35975453115,13.7211595258652
"",632.173961686934,73,15.322486920783,14.28444905717,14.3459515863343,14.4095617469284,14.6538296845931,14.392149494316,14.539397190093,13.8861448564329,14.8539424446426,14.4212684335953,14.6356750323809,14.8869480803339,14.2753425404148,15.9573522243093,15.1203653790475,15.5198613738281,14.5418310390434,14.392649052473,15.2570701341795,12.3861921543799,14.2674117398567,12.0531946024126,14.9558961541707,14.3307005899191,13.944946272643,14.5369097421008,14.09999025819,13.9086699610327,14.4079126368284,15.2482536581994,11.9941645353288,14.2999421141091
"Glutamic acid 3TMS",501.661176458995,73,15.8338007686557,15.0707648643413,15.3239602621086,15.2010118631305,14.2642663198533,13.4066707947034,14.072152886823,15.8731659656847,15.329711640875,15.1371110227545,15.5197598922737,15.3197300374947,15.8422025392469,15.8792841588718,14.5654241281087,15.7422794744781,15.1490921586853,15.3620591855824,15.9177335850822,13.5211245538873,15.1045708769618,13.2250275236662,15.282746675981,15.7443259466179,15.9072284270137,15.1858706282284,15.9786530415943,15.9977714333273,15.2747403866555,14.5430310952481,13.4517753496853,15.1285352079743
"",223.316937329783,73,12.8979005532412,13.9584010856064,13.8271387024042,14.0416160758977,13.4015040317508,13.8495064780259,13.8501978126507,14.2852730634295,14.9984075112421,13.5444407877272,18.9550606473292,15.5260806931909,12.1899834213588,14.987197632174,15.0685658065779,14.4772582805174,15.0750436212815,15.8971508028106,13.4319816156473,15.8498971201236,13.28181182599,16.7744826003222,15.2709428288342,15.7867406876661,15.1278974558477,15.4523318405266,15.0958194324697,14.9406637786532,15.5648029607942,13.1876738901554,15.3549615378552,14.23910719981
"",552.138483207331,73,16.2153325767199,15.9576180139279,15.6552765242616,15.8490843473066,15.9848755242694,16.3639785205256,16.4673932626438,15.7542829739137,15.7577272657035,15.9612807614833,16.2694888299574,14.5882878025073,14.7061552537016,15.4110900319155,15.2528865898224,15.5671146430492,15.4937857720451,15.316918827638,16.083969299031,18.909030643881,15.7753816624062,19.8703064389062,15.0950656222062,15.5436308823952,15.1805342562412,15.4675750983226,15.4569176712742,15.4974047291812,15.6156474066885,15.9281377331977,18.8155235340101,15.7620746400072
"",351.938876978238,73,15.2587991204837,15.287609071594,15.3953636587268,15.3611548704485,15.458893266466,15.3308748985376,15.603488405659,15.262571483454,15.6952328541378,15.2505047718518,14.0643217226969,15.6347350472849,14.8879934513533,15.9735112582633,15.9857595433614,15.788601284932,15.394080548643,15.1565043484264,15.8357498517702,10.3613330872209,15.1300005443181,10.8986032968469,15.6998806362715,15.5964245448244,15.6444742964399,15.448949551152,15.3180590062533,15.4035323563273,15.4226648295967,15.7052310577297,11.3931332315115,15.4040320321378
"",264.472451077488,73,15.2686488529295,15.2508568284908,15.2291364815499,14.9764692440525,15.727581784993,15.5984460530562,15.3756270558491,15.0433034201223,15.0932475814567,15.0363372113286,24.227672913778,15.0480072168997,16.4292958377037,15.725871891815,15.3614026444025,15.2668087300013,15.170294040782,15.0623120983563,15.6793315281895,20.9352984464647,15.3404605061085,22.4603481792251,15.081001358096,14.8474884374452,14.814455984804,15.2235428009898,14.9136905876347,14.9572345915904,14.9716768716257,15.4298509086866,20.9939403195904,15.3783423897934
"",606.044249705992,73,15.2583147967237,14.633932644553,14.6736302895086,14.3351789900798,15.4943876241722,15.2046616833969,15.9869106251016,13.1186518049215,13.5383185722852,13.8371109413144,15.0777514639056,13.4000681987365,14.6404945618759,14.7255587387008,14.8163683159848,15.3235898825352,13.6462845444947,14.8678389201508,15.4917637791662,11.9701214349455,14.6563456471921,14.144538629996,14.4651327266252,14.0321615790188,14.4103427268474,14.1472403618126,14.4883366548046,12.9440587417257,14.5441943513867,15.9820733414019,13.7351869158706,13.6973843404169
"",576.837433706602,84,15.9350396683994,13.8528575913101,14.230127622826,15.5541678618517,16.0728225154036,16.6278835997467,15.204945840461,15.9230523047204,15.50855006505,15.448596269725,16.4315796486907,15.553165001094,14.9274725263144,15.3086727258222,15.7989734250724,16.4820724628173,15.3077302040786,15.1021239683512,14.8717630446013,12.9671118843224,15.2121359536135,14.6705446951528,15.5167792498257,14.9631068629545,15.778061596761,15.3890462034715,15.307823354346,15.8352204065504,14.392693828213,15.5876676836536,13.2217872437784,15.346649084692
"",368.193369966649,147,13.5959588157488,11.870968628181,11.4183476934977,13.5164787048387,14.3986655647253,14.3350151427098,15.4528354706321,12.0520858434194,12.8616492695838,13.5258348626341,12.4648493305606,11.9680599189104,10.51979659198,15.5281555358345,13.15444789751,14.8719062951965,13.0595265087823,11.214438190232,15.5089552405647,10.0889115055344,13.4764917214564,10.6928992319303,13.1913209851319,9.88240676848549,10.369910870188,13.672890259204,10.4959268173835,10.8528449641905,11.2359244515303,15.5923538602078,10.6663827056773,14.1137547234951
