Name,rt,mz,S48,E0,E0,Pool,S0,S0,S0,E48,Pool,Pool,Blank,Pool,E0,S48,S0,S48,Pool,E0,S48,Blank,Pool,Blank,Pool,E48,E48,Pool,E48,E48,E0,S0,Blank,Pool
,"451,301229579531",73,"121494,124729625","134147,579805121","164092,287734367","129797,346627144","116249,505620213","120280,230367954","120130,634165224","113249,350000001","140001,26734805","123409,060319061","281,608329848433","129741,834988451","81770,6199115428","156953,473310868","126498,850164495","156482,989114104","132415,659858568","146368,075767467","159330,365893689","550,662441600982","147992,941992108","228,12752535565","145389,370884143","108982,5","120826,8","120301,331575591","105219,65","93046,5999999999","107474,308031512","190881,843536438","525,648179802835","140605,51034221"
,"359,331191647298",73,"95640,8947654058","134229,15262927","123056,090195393","96783,224016805","99378,4565097861","110334,330484573","117720,612526415","97668,2163492365","87613,1489983737","95117,7572478088","2908,9789065357","81219,3831315532","20078,4430384764","82340,7567360259","93910,6580755942","96250,6365032483","100914,702117806","100729,421026887","98219,6071960426","9120,30000000012","129017,006108973","5266,96225711504","106358,665688221","76467,7713158938","79645,5080740857","99209,26167679","78174,6920666465","83039,4254788362","93738,6388154134","131377,210845133","18666,7","123865,546063971"
,"627,349319482972",73,"108870,799999999","31760,0779652299","41564,2181616644","30135,8543051558","59074,1999999995","51040,3500000003","74690,399999999","32454,802992809","24917,3957671459","34856,7250633224","325,623058618869","19590,8576854856","17871,1982493844","40852,9640039486","40081,2643907761","45906,1836891082","29254,404384216","33383,5406376728","94691,8000000003","232,173999702038","47393,0559510783","33,5048258106006","26468,0728911109","12080,2191825612","36832,8961678444","25606,4193745633","30113,3006269988","34479,1996749304","17277,7183580723","164323,200000001","291,083470655723","35713,3857653736"
Asparagine 4TMS MEOX,"460,415685630368",73,"109857,35","165492,899999999","242964,900000001","67729,2000000001",114938,"59935,2999999999","124952,95","101815,2","27158,0271793408","73750,5500000006","269,652696043962","14970,1361647136","8841,96673689331","15477,132733341","51970,6577004051","61742,2500000001","61873,5000000003","51731,2007188369","87201,4500000002","1765,49999999999","123908,65","2104,35","18409,0477499927","29874,6070895905","40560,9351940545","47391,7499999995","69452,0499999997","30987,8064626348","79523,7","185988,450000001","2307,2","90014,45"
,"329,360434408759",75,"21077,3999999999","24282,9142454754","26292,2661732897","9810,32062739741","7106,25","5597,73041692128","5229,91075271821","19982,8084353886","5957,84676463189","17267,9307899781","587,725760151471","5190,50147668867","10352,7225846674","3552,81856438789","4296,1677728869","3547,37756268893","13217,1169098581","19195,8207192999","5226,09500306806","1873,29866230569","104414,034067938","605,548524416459","5632,58932591159","8670,25856398377","21299,9239193462","12428,8267728287","15993,9490342922","12534,4082449222","15322,706520805","7526,63213982468","2437,45177443916","90564,5999980476"
,"541,054401423133",131,"9720,89885387196","11388,5403909424","22882,8155876137","21266,7595794497","21641,6368088793","6726,5175769481","16358,1099979774","13493,2701340426","27571,6632249214","19723,5326904138","78,0030620504986","26811,5161099492","6309,34401842272","18243,2727400188","27603,7451927121","20679,7668243182","21584,2965026019","23769,4708177988","22516,9798585387","258,950000000004","24018,1730764573","240,200000000002","26526,1821594608","22631,6278590332","30252,5790961011","21114,1113763763","25745,4219352393","10363,5281882105","20603,892836169","66580,9086574966","418,700000000004","21286,7760618001"
,"632,173961686934",73,"61378,2225522084","26084,9300114061","33111,7200197517","31211,3936474326","34862,34292592","25994,2856779996","34349,2354229275","20985,5735446204","41072,1233895924","32067,5518065418","248,096186433457","36305,7","19613,4616773009","78960,2999999998","43322,6259209667","61510,4870604903","35709,759070065","36143,1246580658","57247,3091637414","535,740962123104","35734,5214491817","167,27517932013","44159,9873488153","22033,1759727434","24237,3732696641","33546,5400668934","24862,9754113916","18090,4868494724","23841,0107971593","77651,6364244045","459,599041029065","32966,763742344"
Glutamic acid 3TMS,"501,661176458995",73,"93234,2999999998","45733,8999999998","66990,3499999997","56998,4000000003","28292,9439688868","14077,863870717","25977,2201636665","89858,1000000003","60980,9000000002","54940,5500000004","283,500425430771","52490,5499999999","60212,9500000001","77002,2000000004","31676,1061991523","77996,3999999996","56403,9500000001","75139,65","93933,9500000001","805,487747198911","66961,2500000001","246,513369729933","59758,8499999999","59632,5500000002","103842,75","54342,25","96605,9999999997","83126,1999999997","44326,6000000003","51428,1499999998","878,697703601034","60701,4000000001"
,"223,316937329783",73,"11749,724102354","20974,3499999999","23405,85","24757,1","15025,3416759354","18378,6976692419","21727,3463492947","28590,55","46691,65","17789,9933761368","4012,25","58213,35","4690,11981835948",40761,"43075,0999999999","30903,65","52493,65","105240,75","16409,497457852","5027,45000000001","18430,1564449896","3672,45000000001","56755,25","60824,9500000001","57282,05","64150,2499999999","50738,8499999998","38204,4","53639,95","19242,9263367774","4044,64999999999","32103,9"
,"552,138483207331",73,"131402,615939738","86150,6698483401","86201,9660561866","95126,6672627488","101083,80817125","120032,876834864","144995,492632053","90105,0319450336","88645,2594099151","102282,134798617","278,914268944168","34417,374980184","28624,4645216917","58909,9710157575","56343,9067214714","77163,5184691668","74854,7007686221","77444,4464965105","112241,333364198","21156,7000000001","112182,95126277","14775,65","57456,3247132607","53228,4579242138","69575,7907389746","69201,5732169093","71396,7912726145","64180,7097340494","57284,4312900732","147316,135846009","23401,5000000002","98734,5950945799"
,"351,938876978238",73,"62043,7717843375","53049,0872120034","70169,609117726","63231,884868955","64212,9242402597","52903,6879905043","74642,2346322776","58226,4406077311","77864,3500000004","59098,690513838","110,151180044555","64677,3000000004","30919,0499999998","81814,0499999998","83923,5000000002","79576,4999999993","66513,8004495823","64641,2000000002","88258,7500000005","94,9707362338296","67725,9713200873","52,0693116929901","78967,1493778433","53690,7","85429,7999999996","64911,9524714573","60648,2000000006","54473,6865057714","48998,1999999996","113901,750000001","221,729063481795","73110,3470062509"
,"264,472451077488",73,"68982,9500000001","52957,05","64339,3500000001","52430,15","85655,9999999999","71637,4499999999","68706,2499999999","55648,9499999999","56545,7499999997","54275,3","64330,1500000003","47919,6500000002","95076,5499999997","74033,0000000003","61715,1499999998","63702,8499999998","60207,8499999999","65406,2499999997","85762,4000000005","80461,6500000001","83558,2","82478,6999999999","57640,1499999997","32991,7000000001","54684,8499999999","58876,7500000003","49344,7","44652,25","36771,6000000001","105713,6","99507,6500000003","76248,3500000003"
,"606,044249705992",73,"58890,232923748","33268,4","41620,0999999997","29721,9072944215","62616,1999999998","45801,9214443027","93899,8500000006","12372,0964361247","16552,8539551625","21435,8858800214","328,972778356998","12995,2158057881","25302,0642027369","33658,7280279988","35209,2798156624","53886,7098856536","19229,4900336214","50389,1594737558",67478,"394,271323778643","46905,1445904812","698,135441502717","31541,1496052927","17926,0295547017","33613,0070135347","25645,2275103087","32624,8571260331","9302,686318308","26231,9070748458","129625,400000001","1509,90537836697","21750,1098567633"
,"576,837433706602",84,"101473,75","19724,0499999999","31540,2999999999","73679,85","100530,45","133490,949999999","57540,6500000001","94649,1999999998","70056,5999999997","68820,5500000002","480,692930110936","62699,1","32210,9499999998","52288,4","75781,0500000005","132912,200000001","63478,8999999996","63567,2500000001","45936,1999999997","502,941748679329","72884,2","610,113292596102","71505,8500000002","34846,0499999998","96987,5500000002","63056,25","61441,35","75588,5499999997","24143,1","107937,45","689,759497177313","71200,0000000001"
,"368,193369966649",147,"16317,7500000001","4506,63117268226","3958,44505901237","15218,6000000001","26144,4000000001","22362,15","57662,9499999999","5210,83268873114","9289,98750346285","15872,3999999999","158,889022711247","4323,08560639894","1396,70999364783","57343,1999999999","9932,74131255314","34890,9500000002","12040,089783634","3614,62524315613","62273,2500000001","233,649772814802","18680,0000000001","157,630790965924","11437,092588756","1002,56900848975","1766,2917242501","17703,0500000001","1897,63117983055","1929,01623979404","2466,63767636877","85403,7","359,172513869822","27096,5999999998"
,"247,187854931472",73,"69657,5","48277,3","39882,6000000001","75924,1999999999","57978,4","60554,8500000001","65519,3000000002","47627,6500000001","84359,1000000003","74374,4500000001","11979,7969117132","47859,8","52245,6500000001","48439,65","42436,0000000001","47332,0000000001","53183,75",50948,"74481,7999999998","16946,7229959796","65204,0000000001","13568,9935812236",55286,"48522,85","45424,35","52851,2000000001","43845,1","40966,45","32789,75","69949,9","17123,8209092953","66440,2999999998"
,"778,595829761097",73,"44242,5499999999","29713,0000000001","43665,2499999999","46621,3","33633,0999999999","36484,0500000001","61456,0500000008","33300,0000000004","44540,3","45783,75","82,7399846077409","40557,0500000004","30598,2500000003","58340,8000000002","37265,0999999999","53458,1499999998","48255,9000000003","47428,6999999999","68973,0499999998","737,385485008856","53450,1999999996","160,186116907535","44560,6","30914,3500000001","39468,8000000005","42903,0499999996","42185,9999999997","32247,0000000001",24800,"75338,6499999997","502,310057363929","47931,5500000003"
,"591,356795313094",156,"3596,25000000003","7749,55000000007","12097,3999999999","8941,35000000006","6654,6","4298,90000000002","5417,40000000002","42679,8500000001","10185,7","8061,44999999992","69,9376621212564","8722,15000000006","4234,70000000001","5124,34999999998","8853,69999999997","4362,05000000003","8815,70000000006","11636,75","3028,1","170,363093950388","11018,5499999999","105,96101865036","8735,80000000006","31570,6499999999","60222,0000000002","8208,44999999992","59607,5000000002","51689,4499999998","15122,9499999998","15773,1499999998","113,046649915164","9812,6499999999"
,"579,369881142032",149,"34549,5737251882","8671,6991693463","16028,9884955291","29991,8724393142","39214,3468887853","46829,4499838869","25005,0146249863","41848,9911800653","33646,1089701041","27442,9251008429","61350,2000000007","82574,1538220527","53678,1351339891","52193,4818270572","60493,9061729689","73585,4610603712","47262,4581817009","48772,9276216941","35912,7110554886","7748,45000000007","47380,4222502901","8367,44999999995","45363,7484270475","21484,573432151","60914,6592798449","38368,7846704232","37908,0153176818","46810,577479408","16236,5317812724","63956,0397633945","3678,19999999999","41295,9443780562"
,"619,64467254957",73,"64621,3072422914","45640,5012098338","75164,1500000008","34077,3413223951","50718,7262916839","43698,5746058195","53883,0512482502","93466,75","31051,5169757622","40987,76018934","355,812244429529","25670,8830050386","30063,0698219684","48892,8284812229","44093,4077823983","58278,0530410631","39399,4435201299","60055,0866059503","51801,902190065","3906,57697464805","71898,5826039646","1964,47010963698","35570,6778590203","26932,6262995653","109553,85","31831,886932932","74971,9","86663,9499999996","40907,1500000001","74156,4359949278","6152,73253282018","44176,5657069824"
,"488,884836612413",100,"10023,35","8948,95","13812,55","20520,4","19454,6999999999","10076,5","25162,6999999999","9411,60000000005","19702,2000000001","20652,0000000001","72,4011092796495","7750,04999999995","2171,55","13596,95","13806,6","16827,25",17627,"11126,15","24106,05","980,330115579035","25050,6999999999","224,809784857885","11801,2","6934,85000000002","8443,89999999997","18989,85","12302,45","5844,25","10304,2500000001","60664,0000000001","2159,39999999999","26317,55"
,"571,211528413945",129,"41077,6499999995","8562,74999999996","12126,6000000001","27463,8999999997","42914,5499999995","61265,85","25387,4000000003","42150,6999999993","29387,1000000003","26412,4999999994","53,9753186455818","25509,6000000003","11669,0500000002","27190,8","31949,3500000004","59912,4500000004","27622,9499999997","28671,6499999995","22585,8500000005","68,415146265694","33625,0000000002","70,2261263281851","30683,7","17358,7500000002","45114,4500000005","29628,2500000003","29453,7500000003","35380,5000000002","10821,9999999999","51372,2000000003","36,6811815579564","34207,1999999994"
,"1048,90076225896",73,"23954,3761266762","44192,2999999997","62314,3999999986","36373,6500000003","17977,7666518976","19640,2008846642","21303,2596801643","45124,1999999996","35101,8500000008","32483,4499999995","64,0744661840895","27924,8499999994","41848,0999999997","23413,3324026438","16931,260132839","15768,2072041599","32657,4499999993","65944,8","20614,0217647081","737,682377362047","34829,3000000002","180,275952695275","28220,974564726","38938,6500000006","40266,150000001","30031,6500000004","38221,4999999997","25671,2","29916,9999999993","25303,7910221385","798,638827701179","29707,0936810723"
