Name,rt,mz,S48,E0,E0,Pool,S48,S0,S0,S0,E48,Pool,Pool,Blank,Pool,E0,S48,S0,S48,Pool,E0,S48,Blank,Pool,Blank,Pool,E48,E48,Pool,E48,E48,E0,S0,Blank,Pool
,"592,087042578646",73,"19377,7350304343","6909,71358819996","6490,74099659198","10106,5699761048","5346,16589707828","27066,7290581431","35369,9233415787","10619,5078072517","31592,2999921476","16548,9069213096","11994,3610114325","57,519046367362","13237,4280761805","11311,1752707688","11563,6411270559","23291,4028625137","27102,4481756048","14441,7530577989","17065,3564231543","9410,06559954923","34,8934283925626","15639,8136723589","135,243491267777","15887,7480589503","10485,3999999999","12222,2499999995","10778,4161566272","24035,55","19791,8999999992","4866,78684925641","13805,4915826806","62,1483472336254","13582,4130200155"
,"1034,36200272686",73,"23626,5999999996","50068,95","74826,4000000004","33028,3999999998","20331,9000000001","14619,9","18306,5999999996","23807,3500000001","79483,25","38087,7499999996","25505,4499999996","213,353994739388","22274,8500000002","49449,6999999997","23296,9499999998","18205,4500000002","14350,4500000001","30564,5500000003","73727,3000000004","17438,6500000002","1843,55000000002","38923,5","483,950677050151","30198,7","30855,1000000003","63796,6","25296,2499999999","82613,4500000009","51404,95","51104,4999999992","23895,45","1359,24999999998","36272,7999999998"
,"326,857548207572",73,"12916,25","40811,3","41593,6499999999","10157,2000000001","22987,65","4713,64907448221","4337,96659214936","3547,43757178417","43245,7499999999","9089,34999999997","13051,8000000001","589,100000000002","7843,70000000001","18418,2999999999","2992,15101536803","5014,78408233731","2303,79486126232","17132,1000000001","32649,5500000001","3977,76145554625","1814,7","66268,8500000003","687,55","9416,20000000006","19259,6","40367,3499999999","13677,45","32526,5500000002","28923,6500000002","30817,1","6448,65385575336","1950,74999999999","56226,9499999998"
,"288,150459497028",57,"22374,55","14644,8000000001","13086,6500000001","9358,14999999999","43744,9500000002","669,150000000004","441,550000000002","502,965126703144","643,079840099175","408,695452256103","14666,1","438,149108279679","514,650000000002","456,897824104478","414,147369648995","520,395795113578","427,099999999997","12006,0000000001","427,599999999999","416,099999999999","695,822659750239","45868,1000000003","167,379958181015","348,097562931171","489,022330159789","497,649999999999","9492,65000000005","465,85","363,799999999998","531,450000000001","324,623085356814","408,716139980483","44183,8999999999"
,"645,305242872221",73,"29549,0999999997","18127,3500000002","22249,4499999999","21372,6000000001","25632,6999999999","18939,2999999999","23667,2500000001","28574,4","44763,8999999994","24566,0499999998","17415,4000000001","210,947058866813","18116,9999999999","12387,0999999999","26755,9000000002","24970,7499999999","20488,3499999999","23366,4499999999","21925,9500000001","27769,95","832,453521773859","26460,9000000002","182,567472993086","25334,7","14076,0499999999","42460,8000000001","21990,15","26080,0999999998","32672,4000000004","13209,0999999999","33051,2000000002","646,401487752944","28556,6499999998"
,"648,641316964018",73,"27556,8762997848","15611,9180579978","18434,4307356285","18570,6561988277","20011,6348908946","17480,570600861","23882,6528690833","23030,5508064849","36980,3089989883","21546,4489567477","16061,7365164969","287,050000000001","16739,2586453229","11989,8047109384","23252,5888133094","21791,6510573812","16852,9355077649","20968,5417602879","19712,0660333655","24313,0542654992","929,600000000003","22706,0725802067","229,186936881648","21475,2772640256","13426,9608889608","37042,7639436033","18887,227011869","25027,68795326","28631,4601547756","11729,8251014357","25163,5639631146","861,250000000006","22302,3035441869"
,"435,851263994984",73,"25167,1","23736,7000000001","21655,8","19367,7499999999","34376,5499999999","13855,6","12509,9999999999","4826,86149349306","22431,55","28711,7","17576,2499999999","176,641216510529","22258,75","22204,6500000001","4672,18817997372","21524,9999999999","14339,4499999999","24194,9499999999","22181,75","19711,5","200,495164784653","24089,2499999999","452,394802463707","26209,6999999998","14869,0999999999","21205,3","21666,7","18438,5","18960,5","16965,5000000001","16979,5499999999","654,352488225749","25089,55"
,"439,424529593965",73,"20410,883064127","19438,9444807356","18205,4901949172","16648,0127499993","18054,6192077021","11041,2648999792","7955,50154702982","3991,13979303094","18592,4357317042","22971,0025631539","13627,8887949752","258,552357448097","18074,6489451899","15385,6324011825","3682,46539256559","15319,7576731791","9991,13632954466","20055,95826809","15306,4291584617","14494,0289505339","1011,55","20796,3445049317","1401,4","18963,5198259487","10656,0514887064","15628,4006819372","15974,7719155212","14271,1859372873","14875,8622948636","10276,1669623066","9953,08011299719","2141,65000000001","18476,7864733821"
,"575,807818156752",74,"21740,1234212408","21383,0440124409","19236,4880598654","20713,6557066769","11257,0705524164","22845,7146846071","30754,2860715731","20495,9860728793","51204,0509653675","31102,2541605655","18943,9629070804","3833,25000000003","24196,2962434594","21282,3686494746","28445,8686708241","34078,1838160711","32629,2685784935","25926,0581248713","29132,024881823","23176,8939949802","2306,85000000001","23685,9806644392","3210,65","30493,377060332","22411,9105822351","47700,4242524407","24682,685156194","40004,187867126","44649,0886610544","15933,1031830986","34138,2390912797","3284,35000000003","26974,6022976923"
,"222,51102812283",73,"1900,23051766815","6897,04999999998","8356,10000000002","8223,69999999999","4088,54308639851","4421,59177486139","4280,14070763266","6575,60920728853","14023,3","21748,7","6199,25","1711,95","24078,3","1850,8502640788","13331,85","15766,75","11452,25","12845,8","22442,75","4970,25126622661","1055,15","4512,56755983119","1688,75","23078,5500000001","31147,2999999999","27813,9","13847,2","23920,7000000001","20924,05","26764,15","5288,35851303582","1776,7","7307,94288841246"
