"Name","rt","mz","Blank","Pool","S48","E0","E0.1","Pool.1","S48.1","S0","S0.1","S0.2","E48","Pool.2","Blank.1","Pool.3","E0.2","S48.2","S0.3","S48.3","Pool.4","E0.3","S48.4","Blank.2","Pool.5","Blank.3","Pool.6","E48.1","E48.2","Pool.7","E48.3","E48.4","E0.4","S0.4","Blank.4","Pool.8"
"Myo-inositol",645.740647498833,73,18.0804402376476,21.3951858650306,21.742467919298,21.0590114491428,21.2943938538573,21.3148777004571,21.4882670391582,21.5284971961601,21.7055089115741,21.5771513718665,21.913070893092,21.4875726098814,23.8654369375913,21.3311282659433,20.9963530772685,21.5535548562106,21.3978313136746,21.4583438444671,21.3660815118373,21.1524959328636,21.4617933788784,17.3919518547879,21.3435017674152,18.3675788030823,21.3133129329811,20.9194742876921,21.6649710806481,21.417397569595,21.1275434605314,21.6391650144682,20.7064731369767,21.1855272293797,17.2798980495376,21.385718283668
"Asparagine dehydrated",489.97832551397,100,18.2929487126165,20.2479580909744,19.7110377277919,20.1287772786093,20.3756032615317,20.6327490724311,21.1829874738903,21.0037954245685,20.2488069133239,21.0230552385512,20.612609181299,21.2007160996784,16.6270683152642,19.2363540097953,18.1663568761142,20.1943431384202,20.7531395043881,20.791339247802,20.7809731738567,20.1124964426522,20.9427773293997,20.1591517191562,20.7737798534754,17.5103553733865,20.468347254877,20.2855053528686,20.3407066006319,20.8995906376356,20.8185755412759,19.2890023148126,20.8475191698362,21.7364847923897,21.4036093647093,20.9797687013538
"",580.332011801132,103,18.5389270107788,22.1035307860572,22.492445037113,21.2391863196943,21.3894571600272,21.9684773096748,21.5404876143873,22.4692716185519,22.7927351259557,21.9408617522384,22.2387989321496,22.1807727384567,18.1147018213845,22.0303183333168,22.0062221970414,21.8019166042767,22.259790762395,22.5212521569139,22.0013008175425,21.5924924215511,21.6939446394177,14.9772022607058,21.8477881550704,16.4841496431683,22.0559340027119,21.7154466187796,21.8808952944486,22.0055587271179,21.6587669263338,21.8886548995129,21.5296803045435,21.9877848088244,15.8012325383319,21.8570792180678
"Palmitic acid TMS",687.314975710149,73,21.9462056470292,18.3027283955037,18.3115273143166,18.2086958158195,17.9748807477111,18.6290994339563,18.6115994354492,18.3067679912507,18.8078793125594,18.4635237374841,18.4088509319369,18.3219325683279,28.409012926528,19.204101901797,18.8782330201392,18.5920806416731,18.6338588840465,18.3070416419427,18.7944370812947,18.5735632924478,18.072988265629,21.918717233606,19.3022691667719,22.209794464595,18.8690471034551,18.6016602039053,18.4900453388463,18.9200047310586,18.4959417812292,18.7626088726239,18.7683813162776,18.097288420082,21.3846269340598,19.1668239075093
"Aspartic acid 3TMS",452.487295174405,73,21.0042564638152,20.0653867804038,20.0938480963872,20.6413916970405,20.7690260431147,19.9324117520425,20.1558653991171,19.8065711065602,19.5608396886353,19.4187942146862,20.6645303149139,20.2679149383767,19.9578092896318,20.0641271125086,20.1213902988262,20.1697831726089,20.0865881786173,19.946681791216,20.0755448762462,20.2226663691425,20.0147447536223,19.4819633825621,20.0412331709566,21.857336031978,20.111829253398,20.9992540883208,21.2639432478852,20.1329783673362,20.9843631823893,20.6914139205404,20.3664368064544,20.3375207238711,19.7111490677312,20.0560298077985
"GABA 3TMS",448.31778307723,73,25.7110915936229,21.2997626787558,21.2897811556006,21.6675165435289,21.6753807470493,20.8681858631881,21.0894934800762,20.7806065318512,21.1660910788497,20.7532670462958,20.3402956578255,21.3135917520429,20.2528557526256,21.3190675520888,21.0283447833143,21.4181704370429,21.1290323322268,21.1398684711346,21.117549798734,21.2513888448823,21.1383366269431,19.5724659435055,20.8142945183364,21.9094178248453,21.2695055226875,20.7771454496577,20.7283654490187,21.1943848661754,20.5627500058497,20.4689006999874,21.2371835203213,20.9496177107795,19.965521226955,20.9605855035107
"",761.656689266836,73,22.1348713193452,19.0247516375088,19.1859821429288,18.899108156072,18.7773363010751,19.0937950558445,19.1246737469976,18.6216969886008,18.8883256497613,18.7639455358514,19.772037275443,19.1815424260518,28.6127647744832,19.7715299881844,19.250716068656,19.1520655632965,19.1444684680548,19.0445609217115,19.2208475955448,19.0030007007152,19.0730975595376,21.0113757314456,19.3120483189907,22.1497148911196,19.3461567561524,19.6954414955344,19.749912380716,19.368857024962,19.9933503663304,19.8568626714723,19.1885167535527,19.2010155122171,21.3743451808781,19.4430702610533
"",412.227162155026,73,20.7943285258686,19.3554388086218,18.6385604615272,18.5475672254525,18.3260519585335,19.0807212601963,20.0578835404712,19.6678377974674,19.4638963147608,20.1663491245701,19.3418818908102,20.291281207099,19.9943708325347,18.3284954042724,17.1753703919843,19.0519823781479,19.5680195659316,19.9441231062571,19.8170761412456,18.6758669740979,19.7275323787359,20.4578330605617,19.571940911359,18.7210506527449,19.6247350484762,18.9471172533505,18.8996095309042,19.9302125009174,19.5342351072643,18.1360583659435,19.3752622596869,21.0639280416593,21.5722888209795,20.0691736742754
"Stearic acid TMS",760.177061283625,117,21.1738495788143,17.2028924373962,17.2526233995793,17.2811359378937,16.7890503595033,17.3968565947305,17.2490964181041,16.8746237296777,17.2382976482634,16.9829542613383,17.328310831051,17.3389274517418,27.9722039236224,18.7183246918178,18.0136193454214,17.049979511108,17.4766026606271,17.1987546567301,17.6045379551466,17.5059117381101,16.8382527622279,20.3716343341817,17.9404879577398,21.4288839623656,17.9866271033309,17.8136012791181,17.7697742494787,17.9634608135903,17.6603089346837,17.9083527699096,17.9575013736827,17.2129602356464,20.7728974583984,18.0542375394177
"",364.678301096962,73,28.3941996568014,21.5862115498337,21.5004659766609,22.0367434138781,21.6718998461621,21.684472555107,21.6579704638253,21.6411363410984,21.8641303888943,21.7723443188268,21.6036723372499,21.5286998067071,23.8447808247821,21.5308322213398,20.6408789901727,22.083888883853,21.6422800203505,21.5023061861013,21.5927624033651,21.5016481558019,22.0165668650979,22.4432608096079,21.6360405547426,22.5621874424011,21.556297315952,21.6957580533859,21.4069771527632,21.71442650828,21.4408495667162,21.5314539317322,21.8884864750766,21.5545730028395,22.4376715008542,21.6788305302534
