Name,rt,mz,S48,E0,E0,Pool,S48,S0,S0,S0,E48,Pool,Pool,Blank,Pool,E0,S48,S0,S48,Pool,E0,S48,Blank,Pool,Blank,Pool,E48,E48,Pool,E48,E48,E0,S0,Blank,Pool
,"592,106265220988",73,"19377,7350304343","6909,71358819996","6490,74099659198","10106,5699761048","5346,16589707828","27066,7290581431","35369,9233415787","10619,5078072517","31592,2999921476","16548,9069213096","11994,3610114325","57,519046367362","13237,4280761805","11311,1752707688","11563,6411270559","23291,4028625137","27102,4481756048","14441,7530577989","17065,3564231543","9410,06559954923","34,8934283925626","15639,8136723589","135,243491267777","15887,7480589503","10485,3999999999","12222,2499999995","10778,4161566272","24035,55","19791,8999999992","4866,78684925641","13805,4915826806","62,1483472336254","13582,4130200155"
,"1034,5229094398",73,"23626,5999999996","50068,95","74826,4000000004","33028,3999999998","20331,9000000001","14619,9","18306,5999999996","23807,3500000001","79483,25","38087,7499999996","25505,4499999996","213,353994739388","22274,8500000002","49449,6999999997","23296,9499999998","18205,4500000002","14350,4500000001","30564,5500000003","73727,3000000004","17438,6500000002","1843,55000000002","38923,5","483,950677050151","30198,7","30855,1000000003","63796,6","25296,2499999999","82613,4500000009","51404,95","51104,4999999992","23895,45","1359,24999999998","36272,7999999998"
,"326,827125972152",299,"1557,9","11811,95","12668,35","2080,85","1009,15","1262,4","938,399999999997","382,850000000001","13542,8","2441,85000000001","2045,95","74,5919624771393","2303,95000000001","5717,44999999999","831,8","1438,95","615,800000000002","3175,59999999999","10627,3500000001","860,000000000004","85,3519343925621","3668,49999999999","62,8957101730738","2581,39999999999","6659,10000000003","15165,25","3063,34999999999","11727,05","10373,25","10998,9500000001","1699,5","161,90563577198","3958,50000000001"
,"288,11527966474",430,"90,9890066357193","116,492195595944","148,084978785103","188,440953520295","64,6840970645402","114,930152783603","94,6069389949124","86,226769375133","102,741793999188","112,107705389672","102,408879937794","97,3234412567981","54,2923056454624","93,4909291895657","202,400000000001","80,8073527597907","105,883677890847","153,667583255929","107,102657409126","157,149349034701","85,3943048106085","157,435567075165","105,267279176772","130,78410491408","150,648633051718","153,954297807838","541,635308975716","216,93416682658","307,207056334699","244,554127733804","251,960322017361","191,305844638926","147,284951531808"
,"645,304469614629",73,"29549,0999999997","18127,3500000002","22249,4499999999","21372,6000000001","25632,6999999999","18939,2999999999","23667,2500000001","28574,4","44763,8999999994","24566,0499999998","17415,4000000001","210,947058866813","18116,9999999999","12387,0999999999","26755,9000000002","24970,7499999999","20488,3499999999","23366,4499999999","21925,9500000001","27769,95","832,453521773859","26460,9000000002","182,567472993086","25334,7","14076,0499999999","42460,8000000001","21990,15","26080,0999999998","32672,4000000004","13209,0999999999","33051,2000000002","646,401487752944","28556,6499999998"
,"648,641316964018",174,"103,1129198138","86,886757858503","84,2790024176003","189,262432440333","257,411894868409","183,43807135567","162,449999999999","332,998301155518","72,3440367361323","109,7","44,3067677336589","103,725916037114","95,5604281528669","42,8284293796165","159,760595055838","108,441166840999","103,918558578785","89,0394022195181","127,185555518012","168,351000047703","114,834551250618","172,256695115548","133,775434607154","106,408005405396","118,526766680132","197,231001786782","191,423027937586","147,869084023085","171,574211961743","135,662391567831","504,77020886574","94,6677217650081","83,8027085543448"
Malic acid 3TMS,"435,743813518676",73,"25167,1","23736,7000000001","21655,8","19367,7499999999","34376,5499999999","13855,6","12509,9999999999","4826,86149349306","22431,55","28711,7","17576,2499999999","176,641216510529","22258,75","22204,6500000001","4672,18817997372","21524,9999999999","14339,4499999999","24194,9499999999","22181,75","19711,5","200,495164784653","24089,2499999999","452,394802463707","26209,6999999998","14869,0999999999","21205,3","21666,7","18438,5","18960,5","16965,5000000001","16979,5499999999","654,352488225749","25089,55"
,"439,584795386686",52,"228,435830185441","374,797184454918","192,709468854518","219,617781073595","248,525961594604","551,547083585089","184,901709336412","238,190007024643","374,377872261553","192,931311323274","404,774102930641","406,700000000001","228,875506945563","178,841255634342","189,281585550663","273,394558622632","198,519162882949","319,244789674224","291,480282095172","158,027979954899","251,217436044191","128,540098730857","178,74254448996","180,766824219568","310,646762279839","179,230910093825","468,495185254189","440,368134440053","217,951485231057","189,413154454349","198,584686618349","374,608275726542","371,471083056328"
,"575,807818156752",463,"166,558633056813","181,675391199726","181,337300947569","126,931812061784","318,368929898892","182,503330534762","151,529797170627","162,81611194836","120,859426978855","161,568770169616","128,20743864057","115,891945481552","221,50337645521","225,51395907969","218,414573206854","235,943783407356","160,021178713848","154,740554123377","215,515010078631","128,948359197019","128,96783489909","74,0113731879348","156,631759331638","161,875270131934","182,601829909365","416,393404554513","135,158119852518","391,568205181036","752,98508985526","169,968868244222","397,033225236644","189,374787393351","335,005374294839"
,"222,329574741335",184,"264,55","223,65","231,25",239,"485,950000000002","283,949999999999","452,7","654,000000000001","117,4","116,877014221345","173,475170461465","92,2055811036107","108,7","108,352875148833","245,05","198,05","239,35","259,15","151,55","368,1","130,3","327,6","39,5905608808542","70,732604070844","215,21394497773","245,434549156917","364,449999999999","123,050371634427","303,1","715,25","345,249999999999","152,178663935697",379
