Name,rt,mz,Blank,Pool,S48,E0,E0,Pool,S48,S0,S0,S0,E48,Pool,Blank,Pool,E0,S48,S0,S48,Pool,E0,S48,Blank,Pool,Blank,Pool,E48,E48,Pool,E48,E48,E0,S0,Blank,Pool
Asparagine dehydrated,"489,97832551397",100,"6509,04876596235","2180687,39999999","1419908,44999999","1744292,60000001","2662965,45","3657267,49999999","5171793,24999998","3899070,25000002","2155795,35000001","3901191,40000002","2882181,14999999","4202479,30000002","1568,93707839011","1144865,45","373424,999999999","2293384,29999999","3197325,55000002","3258062,15000001","3551387,20000001","2513796,85","4112364,34999998","79513,7500000004","4039006,20000002","7629,55330988609","2718288,49999999","1880164,95","2516184,59999999","3486832,39999998","3443857,69999999","1093866,15","2767258,19999999","7664208,09999999","222258,850000001","4276270,94999999"
,"580,332011801132",103,"5888,2173256865","8339214,60388093","10662255,4152877","4006463,00970767","5699223,90897663","9747939,12604537","7055826,21930877","11655342,3517485","13415994,4699143","7786318,95290428","9367504,89562733","8760929,52167065","3339,65","8455268,20308277","5729597,16453776","7336426,57869213","9814319,1427638","11560961,4823327","8591562,4540031","7315420,08018266","7290580,85142546","1958,56521067246","8917053,87763808","3141,20000000001","8724429,04439164","5287277,45890209","7717764,44533543","7812910,81103584","6423892,58128818","7027792,71939859","4668844,18626378","9577915,58293145","4071,39999999999","8207925,02295349"
Palmitic acid TMS,"687,314975710149",73,"106292,450000001","533819,500000003","494461,5","432883,249999999","476297,228424104",864552,"821156,950000003","556416,899999996","745047,600000009","627584,3","597617,249999996","540991,45","7200688,5","1048644,25","570777,85","718586,600000008","681211,450000004","545122,199999998","861386,649999992","828500,7","535620,5","298384,950000004","1390967,80000001","232814,399999999","839235,499999992","560190,999999998","663311,950000002","850290,799999992","662576,650000007","717614,350000007","622859,100000002","587731,499999992","244845,499999999","1168634,6"
Aspartic acid 3TMS,"452,487295174405",73,"42187,4436905857","1925713,36991123","1857658,80684811","2494521,03628812","3505693,58067997","2255520,57930121","2543769,6228735","1705675,68393322","1341548,59902782","1285849,49378031","2993522,5","2206167,3255455","15618,5354480197","2037159,05440979","1451777,13384264","2258995,45954487","2020447,33292898","1818982,93221829","2181180,28900173","2717783,54328831","2165642,86479546","49519,8999999995","2435285,21715317","154243,15","2128618,23872051",3088803,"4781322,19999999","2052716,65887526","3869277,84999999","2898063,20000001","1986479,38664312","2911678,42897115","68465,3000000002","2257946,28958724"
GABA 3TMS,"448,31778307723",73,"867148,949999999","4757550,04999998","4600933,54999999","5366285,60000001","6917573,5","4527622,20000002","5136299,24999998","3593846,59999999","4323161,35000003","3404124,14999999","2502306,75173856","4782685,64999998","15015,0740376246","5140229,89999997","2893874,25000001","5602448,20000001","4455821,79999999","4414924,05000001","4643160,84999999","5756561,85","4940361,65","47768,2326404851","4340285,79999998","136877,903299408","5033320,29999998","2750336,37905358","3457501,30948721","4438915,90000002","2995580,76355453","2615107,0626468","3797646,30000001","4646297,70000003","73676,9403147976","4394093,85000001"
,"761,656689266836",73,"104594,8","911057,550000008","950911,999999995","723977,499999996","858015,55","1229821,14999999","1210334,89999999","723112,399999998","816568,149999995","796219,05","1576894,65","1012466,95","7146798,34999991","1613225,9","768499,099999996","1090029,19999999","1013925,95","943293,399999995","1184284,65000001","1143701,45","1101284,69999999","150155,250000001","1437309,35000001","204170,7","1213340,35","1225734,25","1634108,35","1186496,75","1911137,14999998","1581954,39999999","857425,100000002","1295621,64999999","228475,800000001","1447690,24999999"
,"412,227162155026",73,"45220,4407112991","1122202,5","631750,400000001","555103,350000001","615182,850000001","1196241,95","2265381,4","1453490,4","1190232,6","2066346,25","1152023,5","2143775,94999999","19936,8856630842","579875,599999998","177997,149589338","999355,949999995","1323749,50000001","1719834,25","1765616,6","897964,999999997","1704141,5","106016,7","1693685,20000001","20045,4796349574","1437854,35","718609,199999999","890660,200000005","1727230,34999999","1371924,85","470557,300000001","958997,599999995","4639035,39999999","272281,199999999","2203194,70000001"
Stearic acid TMS,"760,177061283625",117,"81684,4500000005","232505,150000001","216920,45","212548,800000001","196697,949999999","346911,750000001","300674,200000001","189748,900000001","234954,550000001","212974,800000001","270173,799999998","258305,349999997","6979478,24999996","696862,4","291378,800000002","233481,749999999","281122,499999997","235908,249999997","360793,599999998","376428,95","216098,099999999","114219,449999999",515021,"158550,250000001","423788,499999997","309650,300000003","381969,200000001","420401,749999997","357144,749999999","374049,899999995","336655,1","303836,699999999","180503,449999998","518762,749999997"
,"364,678301096962",73,"4314659,75000001","6094032,25000001","5789172,80000001","7329151,44999998",7281159,"8390919,45000004","8091844,24999995","7020959,95000002","7448278,85","7260430,80000003","6319801,15000001","5841871,50000004","140200,800863823","6293910,64999999","2355577,80000001","9287179,55","6823940,80000002","6039178,74999999","6676303,19999997","7115556,79999996","9540724,50000002","311894,894681885","8021130,04999996","180512,987189965","6512729,55","5399527,75000002","5815062,05000001","6612787,50000003","5722426,35","5765687,64999996","6239403,54999998","7404327,09999999","363860,632713596","7542298,30000004"
,"362,369595327756",73,"1297447,09033095","2014814,38028056","1769484,13632607","2806789,62766644","2675233,95069735","2976429,41753468","2604175,85865561","2443306,9841438","2804386,72328821","2638302,27091236","2285489,58599591","1924112,13002082","96605,9436592616","2139469,41029912","515788,725836179","1928986,9742908","2415607,92545768","1958910,88104111","2410498,99429426","2624691,91320601","2246482,46848647","214740,549999997","3032509,63467343","133049,19750495","2194782,25394521","1775705,36888095","1992022,31579851","2421724,12443621","1897791,10398341","1980856,09016057","2265011,22464702","2539941,77786942","299527,600000001","2772214,14623615"
Glutamic acid 3TMS,"502,380229202668",73,"40905,7745410058","2043656,95000001","3327557,45","1612602,10000001","2528489,69999999","2507296,1","3640389,9","1130474,8","653112,411307184","912705,7","3646413,6","2367896,3","78948,9","2118407,25000001","2111439,04999999","3171871,29999998","1262088,95","2801236,3","2186481,45","2979681,00000001","4027866,39999999","99646,506389716","2495756,5","204391,649999999","2333330,8","2578381,45000001","4534503,14999999","2273646,85","4453608,60000002","3762820,2","1796689,10000001","2070679,49999999","134162,855651371","2528329,69999999"
,"507,884005185668",73,"52684,0898016397","2063991,57285093","3371552,24987924","1605450,8450826","2512643,11034016","2941609,48480096","3821976,78230986","1284079,3272622","753751,243849509","1127713,3434836","3707469,70691865","2371461,23606669","81308,4648761008","2085579,45210781","2076544,6051722","3147786,337657","1302919,50644484","2819127,24065297","2380468,37416864","2971160,94598193","4114863,71746067","201851,25","3086236,69692905","238625,92288761","2330662,1320039","2565946,94925444","4478760,84663721","2370692,31832291","4439508,13529942","3765863,44105458","1834550,68999496","2254316,4168876","279346,350000001","2753134,11568283"
,"371,591328700316",73,"371663,858425629","848816,809322366","957100,451191821","642608,53025708","639142,795454519","1687215,46359261","2928196,28008391","1684033,65817667","1815383,82097079","2109052,30066521","1049067,32133522","800784,731717645","817622,400000004","671809,081250342","1025040,8634262","3270179,64158532","982070,169444717","1885727,33490536","1105313,34113052","798342,2886465","3042246,55466567","814743,200000004","1625198,74113632","984265,199999998","894534,926438257","656513,422054973","755271,862190302","1338943,58971967","796031,791577053","846433,937884373","804598,052516762","1950619,62087243","800791,900000003","1776503,28086442"
,"582,438205230586",147,"8279,54999999997","6510775,27339987","7772270,32233372","3948810,67615186","5214121,25193537","7399256,46937446","5657885,75246384","7504050,33105446","7071479,59174368","6122447,65118403","6042714,92433237","6359255,12609953","7671,29999999998","6544772,62514819","5044036,95883382","5471903,26273193","6828298,14024185","7025991,26232385","6273233,33321952","6248022,73321184","5340509,14091825","9066,88558182237","6522095,87816186","12401,7269660256","6717230,24718562","3856966,82220262","5482419,43224943","5866996,05937834","5211226,61078089","5552776,50338481","3622313,64572869","6251898,73843308","15848,59321917","6195536,05924448"
,"627,572666098398",73,"2108,26632593813","943075,806178541","2221181,64999999","574877,122991343","1195579,62643922","1856344,7","3163539,55","2674476,89999998","2434622,60000002","2783948,60000001","1593902,21923894","891246,060872545","6811,51919146465","888916,095488641","706815,736793786","1622817,87475477","2192774,75","1618772,97052842","1273842,70032576","1487730,08156372","2618601,55000002","6234,48809919792","1620853,99999998","4861,2861984624","916321,871748092","634206,015228568","1320596,60419707","961982,713407578","1103264,47367822","1495022,34000511","612412,082193066","2935725,40000003","7024,94529111817","1500913,60000001"
,"620,116490536273",73,"17881,7602054648","2498351,12189956","3533437,48192122","1868780,08397215","5168110,03893544","5582651,27099156","5864772,01941023","5843553,986458","5685306,12572732","5261354,21778239","6096095,47732749","2777345,20148815","41411,2917696988","2822722,89536201","2630761,5357694","4623076,28930768","4409050,68896062","4513643,53250167","4231796,31955665","5441501,06294139","5005780,46326911","180527,973094439","6217142,76504986","65982,8402060751","2721975,26911753","2241173,45887289","5773008,56742265","2942212,06740741","4673570,33761802","5096381,57812581","2552312,4230431","5844126,859918","233559,902218505","4778733,799077"
,"632,313119266585",73,"3735,61991777268","885499,130050676","1588563,10297787","659976,491479093","1080230,40625511","1181181,09494483","2057882,17827008","1702320,2204392","1249701,31893377","1439254,85219103","943268,953556653","903378,321434369","18963,197469799","1037976,64999998","608518,294350118","2774309,74999999","1379709,54359291","1576057,65155307","1006973,70455356","1169926,52988883","1461240,36283222","7056,31100997655","1022938,58144739","6996,39215992561","964611,766478855","608647,076379218","744693,921106283","803368,278685326","676415,19673518","766873,389852502","619416,921335548","1608416,513662","12363,9208206464","1112565,69912039"
,"548,261561518986",147,"5735,35778681347","2241290,03234809","1958826,36260698","1513920,1170826","2331754,09730192","3869845,14999998","4173952,05000001","2912582,59999998","1944423,85","2747544,75000001","1074654,54551992","1530706,30494642","4823,95000000003","2308987,66409934","713848,775866431","2073911,41974014","2550875,77902651","1854977,19784371","2080926,75522399","2079651,62708332","3273746,55000002","23964,7079908815","2932951,44999998","30903,7928763835","1919066,6091161","1511054,24141138","2177141,63957906","1868840,6886814","1729801,21537376","1143924,34895639","1291481,36410265","4503220,15","33042,9840731619","2621207,45000002"
,"461,782913223169",73,"19524,9993735909","796963,259770115","861962,402419274","1057693,75","2305298,30000001","2292850,00000001","4209503,45000002","4011548,34999997","1812070,85","3482684,24999999","2684842,55000002","776162,149999997","24432,6231006766","782880,644969719","254643,314229203","821978,27137452",1706012,"1678543,4","1685549,3","1409235,9","2731962,40000001","41408,3126319735","3515606,19999999","58383,6088141454","892534,646359516","1132569,36317103","1561325,49203966","1417650,35000001","2279224,20000001","784656,8","2326432,3","6473149,39999996","66147,8455330029","2496965,10000001"
,"362,891518898238",107,"2565544,14177225","2623637,8510435","2582653,91168163","2645832,46491157","2576428,22584257","2758973,41665497","2599240,17059887","2280108,85146558","2376999,71042348","2336793,16608097","2464857,2924757","2349838,48341888","1697,44999999999","2551012,839856","62754,171040742","2387537,36639739","2287953,07542396","2401545,45431933","2290085,04217738","2421552,89412288","2358458,04391038","2080,05","2491096,50557372","1971,65000000001","2750629,30640269","2437209,92050678","2462185,91063135","2430914,42094686","2460184,76222562","2573691,69623097","2496594,90361896","2305770,54560716","2248,55","2640334,5914442"
,"778,978365145668",73,"4576,77044947057","1493527,85000001","1462045,24999999","1002258,3","1571919,09999999","1932115,69999999","2529205,05000002","1539576,15","1782971,84999998","2323722,75","1524688,4","1811911,05000002","1537,74510327375","1706648,20000001","1182091,9","2396688,35","1516036,75","1967354,75","1801756,05","1743740,49999998","2633180,75","20721,066592639","1951105,15000001","3736,93403283126","1600042,1","1047576,5","1462007,15000001","1660336,15000001","1715700,90000002","1296587,50000001","862624,85","3039479,55","27220,6410915777","1984531,24999998"
