"Name","rt","mz","S48","E0","E0.1","Pool","S48.1","S0","S0.1","S0.2","E48","Pool.1","Pool.2","Blank","Pool.3","E0.2","S48.2","S0.3","S48.3","Pool.4","E0.3","S48.4","Blank.1","Pool.5","Blank.2","Pool.6","E48.1","E48.2","Pool.7","E48.3","E48.4","E0.4","S0.4","Blank.3","Pool.8"
"",1016.71934830064,386,8.04845475599211,7.98138082965325,7.90522730067214,7.23709825622013,7.624759426152,7.80051360032239,7.50409772960031,7.65188455992975,7.67293697218633,8.00071995026074,7.20324558944754,7.51234690590904,7.1983696836488,7.40861037486691,8.06264201424615,7.60103101084927,7.847125692291,6.93728813006757,8.04998115005492,7.96963464434643,8.07036980709799,7.54866854676857,7.6639374827485,8.70345260108478,8.92356094839312,8.29208166611012,6.4564515013827,7.40307131862366,7.32594019240202,7.32708624480945,7.79372539800028,8.5092933384249,7.59905896021326
"",361.403258272066,73,14.0940650789883,14.8405698523318,14.4834788468657,14.0868019572067,14.3153878125864,14.1882181270531,14.234011355844,14.2378804349326,13.9898480344224,14.0010191450847,14.1071162009537,16.4991663845486,14.2312248499087,13.3874633162529,14.3333200014685,14.2108577342922,14.3326397329016,14.2314730420905,14.1003863149586,14.336301290438,13.8833498211004,14.3245292595974,15.5448536076423,14.0949144213884,14.6942166401714,13.9775238671455,14.3021120388122,13.8629303618552,14.187569746595,14.7696626879391,14.0256959936942,14.8671692634383,14.3129807359483
"",548.072386228048,424,7.9159314611937,7.44429625013341,6.48487921677216,7.94540578591704,7.94350457669729,8.34091554349104,8.6830407399175,8.12887553652468,7.70513926483195,7.340065002077,8.46386736456773,8.00826439868336,7.72291204007088,8.36884699207867,7.31945453482849,7.7865230704061,6.82337388622261,7.66270366279935,8.12866591245886,8.31431824230786,7.72864820947918,6.94802246953014,7.1515945781673,8.3134069735071,8.30248444746338,7.964909094521,7.98909044132446,7.7727658399556,8.02049349083181,7.39290806403298,8.10952026284139,7.5806950222199,8.17671014553611
"Diethyl Pthtalate",578.854685363932,149,11.7071068507627,9.48786993085961,9.96673609298466,11.2469779199251,10.0392748127323,11.7331640118316,12.0386696648358,11.4594222361358,11.8698458635187,11.5472352037865,11.0281932453058,19.9933106870929,14.8764345860871,14.8320304708208,13.5484982011572,13.5866138002628,13.6738297175536,12.7795273775724,12.7514288943627,12.431044507578,14.5767527587227,12.1812894675732,15.9842810136672,12.4029795344287,12.0570842996344,12.7056444266241,12.2097095246472,12.2564301865198,12.5526757570106,11.7751094504224,12.5277094199469,12.9441471806266,12.2443628123218
"",832.398365140975,58,12.9339778403702,11.2240632511284,10.6462929507956,11.86371363255,12.9094136048622,13.1901031232916,13.179034339883,13.0982352194665,11.060686909913,12.120733351973,12.4648643187678,11.3195422093689,11.7632075456491,10.1394907017174,13.1458270289656,13.3891792151976,12.3764485657818,12.2263082598501,11.6349400344844,12.8910091796473,9.98390191005939,12.008128157884,11.8955269633467,12.6137572838768,9.86073451457761,10.6912913782216,12.7413723084229,10.9527190419192,11.1117220846789,11.0334906059278,13.3877155808082,8.85306601574676,12.5885317985607
"",460.30606498908,203,8.38738496029035,7.5698514337738,8.12395357495889,7.60945847486222,7.89435303013429,7.90431089416259,7.0944086867704,7.86537522952565,8.05393778181589,7.73736429484398,7.96291793397231,7.61751910992265,7.01289701440986,8.36928101774213,8.07844001899865,7.17777636907053,7.57281174052346,7.44495258138992,8.09523909489029,7.25389056802733,7.87031894728205,7.13085081240993,7.27163738614703,7.79469889588291,7.91791916625731,7.17641367876818,7.44462001428487,7.71135378737382,8.52349312157111,6.81290635798192,7.22698027412892,7.44690029027714,7.20776038698554
"",501.50636232417,234,7.89649926980609,8.10618564652624,8.28697754314764,7.87196936784062,8.61904975250957,8.22918931307561,8.50195276563544,8.67863870659525,7.82458693494282,8.28151634689799,8.20794327105208,7.75709217096713,8.39046757753753,8.33755817746197,8.1807118915991,8.47549597509448,8.23212708135209,8.15588542691711,8.0122519936364,8.24552079092126,7.92202301624719,8.05900473012663,8.55554774626233,8.37759972185255,8.18705849118434,8.72744346643412,8.63163830072078,9.59617747016868,8.62052473885905,8.04465062811787,8.05575774693215,8.98198034234996,8.7361237985491
"",627.358274691721,73,13.3988463760858,11.9429656503451,12.1876617394682,11.8455080337888,13.2420838912767,12.6441630071469,12.7458174863158,13.1047187677717,12.135425398232,11.3804195864474,11.7554149313067,11.5193542660432,11.196318520754,10.9974536329093,12.2437401596768,12.2814705602341,12.0296276713822,11.8335907112115,11.5805856563327,12.9169933908145,10.1743252434599,11.9602917968297,9.2226734413781,11.3814345406247,10.851550622542,11.6442575251694,11.6329380813944,11.8269313571924,11.9738063404632,10.9272834017438,13.145009639271,9.80774905500795,12.0680911654604
"",540.628073722673,73,11.5240363682719,11.4199283653679,12.099166997548,11.7162504525149,11.4274874965459,10.7385369350577,11.5603942770264,10.1682065933912,12.1606653111335,11.7869824491284,11.6398131523719,11.3186144986591,11.1761513377922,11.6801120579304,10.7855982894458,10.5749318793826,9.97238299573582,11.4973941832907,12.1195053522707,10.3204551183023,13.2377876195631,11.6519209252268,12.0158657719628,10.9437551359783,11.7800996275793,12.8999368845794,11.6778086686385,12.4182412474295,11.8243340207769,12.2444661478481,12.038978198646,12.3584092938148,10.07341190715
"",605.356295693065,73,12.3684406578182,12.1542480586717,11.9516603258797,11.5710760271331,13.8060708414373,12.6592212324839,11.8861493810916,13.2653818883936,11.3068319364705,10.7212552999938,11.6774170422311,11.3259222534174,10.9064064791913,11.4351432850542,11.6442571731871,11.4344797879983,11.6727634934896,11.2890742479281,11.5453292733159,12.6134134977592,11.1788291096046,11.6553799372385,11.3262688617849,10.6069960187602,10.9275232117977,10.5761616437225,11.3174664111224,10.8460362118087,10.7810773905295,11.5630041821883,13.5065055647976,11.4447751093066,11.729491887359
