"Name","Class","rt.sd","rt","Blank","Pool","S48","E0","E0.1","Pool.1","S48.1","S0","S0.1","S0.2","E48","Pool.2","Blank.1","Pool.3","E0.2","S48.2","S0.3","S48.3","Pool.4","E0.3","S48.4","Blank.2","Pool.5","Blank.3","Pool.6","E48.1","E48.2","Pool.7","E48.3","E48.4","E0.4","S0.4","Blank.4","Pool.8"
"","Unknown",0.0034,3.244,16.5870352850919,18.8163498085194,18.1534232501056,NA,19.2297037859065,18.6110170086143,NA,18.384867494585,NA,18.4912994729357,18.5382189134239,17.4162257901211,NA,17.3097281002275,NA,NA,NA,19.089298176934,17.3989753634429,NA,NA,NA,NA,NA,NA,17.9408777037386,18.6290320473041,NA,18.3972643147422,18.7690844727301,NA,18.6551989557909,NA,NA
"1-Piperidinecarboxaldehyde","Unknown",0.0046,5.782,15.2368192595546,15.1220094420894,15.1337183593196,15.3228592890639,15.3031755896643,15.1118238502602,14.8325199931004,15.1083158601135,15.1305172242689,14.8962025822889,15.2061973141096,15.0531200226389,NA,15.0589965863704,NA,14.4748634654492,15.1038122989156,15.0360900755216,15.1379333892569,14.6361850483314,14.9950077339855,NA,15.1451561925658,NA,15.1604825683785,15.2650476558881,15.4344219445765,15.0631655118851,15.1508541484669,15.2706187992707,15.4674385189468,14.6301347430751,NA,14.9499621530752
"Glycerol 3TMS","Unknown",0.0011,4.847,13.1107257457888,16.080067721779,NA,NA,15.379603920842,NA,NA,NA,NA,NA,NA,NA,NA,16.0945686566506,16.0177299244184,NA,16.2601705484531,NA,16.2838520542146,15.8014552729466,NA,15.0568490068067,NA,15.8183737776717,NA,16.226530937876,NA,16.5445490444645,NA,NA,NA,NA,15.5006726644494,NA
"Sucrose 8TMS","Unknown",0.0028,13.882,NA,23.0402835632556,NA,23.273968950173,23.0678642037569,23.0681350847433,NA,NA,NA,NA,23.1455243811405,23.105262668447,NA,23.1091183258097,23.4387063338445,NA,NA,NA,23.2019565274132,23.1881338167508,NA,NA,23.2130120310094,NA,NA,23.520766789303,23.1178488716566,NA,23.2916451807106,23.2306299592219,23.5403547933621,NA,NA,NA
"Glucose","Unknown",0.0037,9.753,NA,22.451870472834,22.7927356617332,22.4521866774886,22.4158366116778,22.7335515800415,22.2955529084317,22.710172207559,22.6825499109133,22.6678611462418,22.539982869565,22.5474033862508,NA,22.5878504786014,22.6633374816574,22.4269179985247,22.5447151101217,22.5530888935025,22.6020243419446,22.5305597803747,22.3885926716511,NA,22.6224487734664,NA,22.669364307109,22.5141976664913,22.4010541393993,22.7283422228083,22.5463299185699,22.5762422442499,22.5610197919572,22.5984649839422,NA,22.6624499615352
"Glucose","Unknown",0.0026,9.877,NA,22.0056659893105,22.107310337303,20.556022625964,21.4306116297974,21.8687008862741,21.1216116684004,21.9123181172855,21.8488854343147,21.9201057617647,21.8529923877836,21.7991799104419,NA,21.734647120221,21.5836317331121,21.5678151399704,21.8151673591181,21.846380222179,21.7561763302714,21.6575485540794,21.2532296153262,NA,21.7761553739506,NA,21.8848284033335,21.1479123414444,21.3841350052772,21.7366064393242,21.675215374503,21.5707005856482,21.4876569918554,21.5272701512179,NA,21.7505001601251
"Alanine TMS","Unknown",0.0021,3.493,NA,21.9217583437886,21.9645814871774,21.5824305993985,21.8576068833525,21.4788516109184,22.0583884367721,21.9858938642999,21.9574305675339,21.8537476965546,19.6352872589626,22.0486086337027,NA,22.1616840706389,21.6335449986494,22.4251457672126,21.9854294925997,22.1981420726079,21.8786967503542,21.8719681396953,21.4264499396653,NA,21.5772084216334,NA,22.0220964157338,20.3119862463941,20.3449679784087,22.015478169011,19.5347172114677,19.2771244197977,21.6036456355327,21.4527980211995,NA,21.556850119187
"L-Asparagine 3TMS","Unknown",0.0021,9.077,NA,21.8065367998068,21.5528651758904,22.0420711794428,22.2091756328151,21.8591232660854,21.6504374785158,21.7659432642058,20.9808066032714,21.3716179791232,21.408553946816,21.8715988249797,NA,22.0727486005349,21.3364066912335,21.9221202930471,21.9869647988059,21.7677566948988,21.9289905522575,22.0802917562564,21.942000489326,NA,21.8486052057079,NA,21.9993645346342,22.1357298710902,21.9158135808561,21.9194938022921,21.9575378883328,21.4966017029033,21.9851271677616,22.1341550564995,NA,21.6811971784212
"Malic acid 3TMS","Unknown",0.0052,7.292,NA,21.8554533891847,21.8944417112148,21.7001407929709,21.5757736266088,21.74769710575,21.8532264185554,21.2997140370468,20.7159706729041,18.8748189508756,21.5260873371513,21.7863319440885,NA,21.5433268963578,22.2380324866874,19.440374949219,21.4688292969232,21.2701122832291,21.8204959467455,21.8283949380367,21.5977797217178,NA,21.9733252909108,NA,21.7585278731391,21.1397426020432,21.590235281275,21.7012796224106,21.5167692319704,21.5586424505431,21.5128606433933,21.0345201666402,NA,21.9619413479903
"Chlorogenic acid TMS","Unknown",0.0021,16.848,NA,21.6211952040667,21.4048945857771,21.9582929415499,21.8164143551685,21.6765037696213,20.670901423756,20.7437076267231,20.9943851080041,20.6937141957525,21.5614436112576,21.3700191090497,NA,21.4329854793393,21.8092908868636,21.3821442671179,20.9597193039712,20.7874790304925,21.5666637657537,21.4672042904566,20.4909380568465,NA,21.5243079606874,NA,21.5057963371093,21.6869144710127,21.5521257209411,21.3758894478218,21.6120455894345,21.7073222200465,21.6966599155347,20.1617139568831,NA,21.2498808548523
