Name,Class,rt.sd,rt,RI,S48,E0,E0,Pool,S0,S0,S0,E48,Pool,Pool,Blank,Pool,E0,S48,S0,S48,Pool,E0,S48,Blank,Pool,Blank,Pool,E48,E48,Pool,E48,E48,E0,S0,Blank,Pool
Maleic acid 2TMS,Unknown,"0,0049","6,139",NA,0,0,0,0,26879,22349,28342,0,0,0,0,0,0,62149,0,37834,0,0,55036,0,0,0,0,0,0,0,0,0,0,0,0,0
Isoleucine 2TMS,Unknown,"0,003","5,213",NA,0,0,0,0,16586,0,0,0,0,0,0,0,8738,15125,0,0,0,17130,0,0,0,0,0,0,0,0,0,0,0,26842,0,0
Glycine,Unknown,"0,0051","5,314",NA,0,0,0,0,4866,5448,4353,2326,3717,2986,0,0,0,3864,4405,3254,3591,5122,4471,0,3945,0,0,0,0,3911,2734,1693,3034,8134,0,4663
1-Piperidinecarboxaldehyde,Unknown,"0,0032","5,722",NA,0,0,0,0,765,567,491,0,0,0,0,0,0,0,0,550,0,0,525,0,0,0,0,0,0,0,0,0,0,579,0,0
Putrescine 4TMS,Unknown,"0,003","8,52",NA,0,0,0,0,0,0,2512,1502,2275,0,0,1900,0,3395,0,4097,2107,0,0,0,2395,0,2360,0,0,0,1882,0,0,5294,0,0
Aspartic acid 3TMS,Unknown,"0,0044","7,539",NA,0,0,0,0,0,0,0,59823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54605,88456,0,86386,56173,0,0,0,0
Allantoin 4TMS,Unknown,"0,0028","10,537",NA,0,0,0,0,0,0,0,0,26644,0,0,26093,12027,0,26756,36191,0,0,0,0,0,0,27054,14472,0,0,0,0,17207,57124,0,0
,Unknown,"0,004","6,135",NA,0,0,0,0,0,0,0,0,8641,13894,0,0,0,0,7789,0,12427,0,0,0,0,0,8748,0,0,12948,0,0,0,17907,0,0
,Unknown,"0,0031","4,752",NA,0,0,0,0,0,0,0,0,3221,0,0,0,2314,0,3513,0,3049,0,0,0,0,0,0,2711,0,0,0,3066,0,0,0,0
2-hydroxypyridine,Unknown,"0,0032","3,207",NA,0,0,0,0,0,0,0,0,1042,1722,0,0,0,2129,1879,0,0,0,0,0,2567,0,0,0,1283,0,0,0,0,0,0,3247
,Unknown,"0,004","6,37",NA,0,0,0,0,0,0,0,0,0,1226,0,1306,0,1397,1385,0,0,0,0,0,1624,0,0,0,0,0,0,0,0,0,0,2065
,Unknown,"0,0036","6,134",NA,0,0,0,0,0,0,0,0,0,0,20446,0,21594,0,0,0,0,0,0,23060,0,25462,0,0,0,0,0,0,0,0,27793,0
,Unknown,"0,003","15,699",NA,0,0,0,0,0,0,0,0,0,0,0,4037,0,0,0,0,5359,0,0,0,0,0,4094,0,6746,0,0,0,0,0,0,5466
,Unknown,"0,0014","8,727",NA,0,0,0,0,0,0,0,0,0,0,0,398,0,0,559,0,470,0,0,0,0,0,352,0,0,357,0,0,415,0,0,0
Oxalic acid,Unknown,"0,0044","3,545",NA,0,0,0,0,0,0,0,0,0,0,0,0,4416,0,0,0,0,0,11162,0,7893,0,0,0,0,0,0,0,3905,10673,0,8987
Tyrosine 3TMS,Unknown,"0,0039","10,822",NA,0,0,0,0,0,0,0,0,0,0,0,0,4002,0,4353,0,3830,7662,0,0,0,0,0,2955,0,0,0,0,0,0,0,0
Phosphate 3TMS,Unknown,"0,0034","5,448",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,3620,0,3548,0,0,0,0,17693,0,0,0,0,0,0,0,0,7486,0,17801
