"Name","Class","rt.sd","rt","S48","E0","E0.1","Pool","S48.1","S0","S0.1","S0.2","E48","Pool.1","Pool.2","Blank","Pool.3","E0.2","S48.2","S0.3","S48.3","Pool.4","E0.3","S48.4","Blank.1","Pool.5","Blank.2","Pool.6","E48.1","E48.2","Pool.7","E48.3","E48.4","E0.4","S0.4","Blank.3","Pool.8"
"FAME C08","Unknown",0.0019,4.23,NA,11.9895048798841,11.8968102999034,NA,11.776552522706,NA,NA,NA,11.8693077438865,11.9427278629885,NA,NA,11.8917121507228,NA,NA,11.8811725657546,11.8924141828947,NA,11.8740614564745,NA,11.9059675628345,11.8627935882593,11.9059675628345,11.9573884502515,NA,NA,NA,NA,NA,12.0807234311628,NA,11.9059675628345,NA
"Asparagine dehydrated 2TMS","Unknown",0.0038,8.144,NA,10.0487616479487,NA,11.1894178198941,NA,NA,NA,11.457670333641,NA,NA,NA,NA,NA,NA,10.7508279470006,NA,10.7485992013943,NA,NA,NA,NA,11.5895559666873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","Unknown",0.0038,4.691,NA,9.72304480962263,9.5593812496002,9.48174651879808,NA,9.51929443833782,NA,9.4541683311761,9.5974400265376,NA,NA,NA,NA,9.56555973091154,NA,NA,9.64186982245267,9.64481858091911,9.41527094190648,9.47700770971187,NA,NA,NA,9.84102564296533,9.65583025741142,NA,NA,NA,NA,NA,NA,NA,NA
"Fructose (1MEOX) (5TMS) MP","Unknown",0.0054,9.523,NA,NA,13.4489581187383,NA,NA,NA,NA,NA,NA,14.7789981152498,NA,NA,14.6860380724046,14.6223168133182,NA,NA,NA,NA,14.6966957931568,14.5427762634137,NA,NA,NA,14.8584086569272,14.7029412806953,NA,NA,14.9376055233041,15.5183872108931,13.9407860870046,NA,NA,NA
"Serine 3TMS","Unknown",0.0071,5.884,NA,NA,12.6361917625683,NA,12.6697854347874,NA,NA,12.4305701347343,NA,NA,NA,NA,NA,NA,NA,NA,12.558085673797,NA,12.5899090555016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","Unknown",0.005,3.718,NA,NA,12.0435458247852,12.0741331350676,NA,NA,NA,NA,12.7243675203612,13.4939935895611,11.899612450052,NA,13.7362050892884,NA,12.5709641283401,NA,12.7903009545272,12.6667245860217,13.9543970758302,NA,NA,NA,NA,13.8090433436998,13.824337575127,14.1904758381074,NA,13.3381840604471,13.4259144156627,NA,NA,NA,NA
"Threonine 3TMS","Unknown",0.0022,6.039,NA,NA,9.71233262062669,NA,NA,NA,NA,NA,NA,9.66883095959975,NA,NA,NA,NA,9.77837621897606,NA,NA,NA,9.77530371326327,9.75628608315179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fructose","Unknown",0.0077,9.527,NA,NA,NA,16.0970677633886,16.2783527880802,NA,NA,16.5506975032002,NA,NA,16.3445324016322,NA,NA,NA,NA,15.9965068429413,16.1856608855754,16.1298303882426,NA,NA,NA,16.187404623698,NA,NA,NA,NA,16.2660193857977,NA,NA,NA,16.0951725922229,NA,NA
"Aconitic acid 3TMS","Unknown",0.0031,9.564,NA,NA,NA,15.1721253340182,NA,NA,NA,14.6503263104922,NA,NA,15.1296862749093,NA,NA,NA,NA,15.1114917226409,15.1568133721971,15.2303311543951,NA,NA,NA,NA,NA,NA,NA,NA,15.4310956514894,NA,NA,NA,14.7686613991092,NA,14.9346274173834
"","Unknown",0.0054,12.972,NA,NA,NA,12.4802978934666,NA,NA,NA,12.5163626892204,NA,NA,NA,NA,NA,NA,12.3750262116024,NA,NA,12.4410674029944,NA,12.5405353859106,NA,12.4806581435592,NA,12.4704137645263,NA,NA,NA,12.8398485020688,NA,NA,NA,NA,NA
"Valine 2TMS","Unknown",0.0053,4.396,NA,NA,NA,NA,12.9101671813378,NA,12.4084620316766,12.3052227404651,NA,12.2067818876195,12.2573013571915,NA,NA,NA,NA,12.5013172504591,12.3872025955516,12.1548172371867,NA,12.4669815677211,NA,NA,NA,12.2139465623534,NA,NA,12.3508404600816,NA,NA,NA,12.9012790274553,NA,11.9603559305631
"","Unknown",0.001,5.898,NA,NA,NA,NA,11.7478434397169,11.7700189186741,NA,11.6660086876945,NA,NA,NA,NA,11.7224219631383,NA,11.8080628180975,NA,NA,NA,11.8163527008538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9225332154816
"Quinic acid 5TMS","Unknown",0.003,9.507,NA,NA,NA,NA,10.0943815283587,10.5448068654901,NA,10.0716324661656,NA,10.2137359732898,NA,NA,NA,NA,10.2112604135783,NA,NA,NA,NA,NA,NA,10.2946679465214,NA,NA,NA,NA,NA,10.396685911115,NA,9.97348414724722,NA,NA,10.3273788320854
"","Unknown",0.0012,5.318,NA,NA,NA,NA,9.46517502158927,NA,9.46501524240012,NA,NA,NA,NA,NA,NA,NA,9.3862966307787,9.35179089532868,NA,9.25129782230421,NA,9.42431489879366,NA,NA,NA,9.20639935937886,NA,NA,NA,NA,NA,9.32503391436055,9.58622149035652,NA,NA
"","Unknown",0.0027,4.12,NA,NA,NA,NA,NA,12.5580790689622,NA,12.6033960160233,NA,NA,13.2450550337713,NA,NA,12.4077153975192,NA,12.0323722174621,12.4143349692385,12.4866035971327,12.3368754873414,NA,NA,12.5981602197094,NA,NA,NA,12.3487623979978,12.342879723309,12.3443328356857,12.1643935482623,12.0298617447285,NA,NA,NA
"","Unknown",0.0051,11.031,NA,NA,NA,NA,NA,NA,NA,NA,12.6784615778455,NA,NA,NA,NA,NA,NA,13.0905532012944,12.61337988833,NA,NA,NA,NA,NA,NA,NA,NA,12.3658469130381,12.8343379889251,NA,NA,NA,NA,NA,13.2098566969917
